[2017-09-15 09:15:22] Shadowsocks started
[2017-09-15 09:16:37] Shadowsocks started
[2017-09-15 09:16:49] Detected: PAC file 'pac.txt' was created.
[2017-09-15 09:16:50] Detected: PAC file 'pac.txt' was changed.
[2017-09-15 09:17:24] Shadowsocks started
[2017-09-15 09:25:39] Shadowsocks started
[2017-09-15 09:26:01] Shadowsocks started
[2017-09-15 09:29:45] Shadowsocks started
[2017-09-15 09:30:04] Shadowsocks started
[2017-09-15 09:30:08] Shadowsocks started
[2017-09-15 09:34:14] Shadowsocks started
[2017-09-15 09:34:19] Shadowsocks started
[2017-09-15 09:34:23] Shadowsocks started
[2017-09-15 12:48:04] Shadowsocks started
[2017-10-05 14:42:59] 104.225.237.215:8388 timed out
[2017-10-05 14:43:01] 104.225.237.215:8388 timed out
[2017-10-05 14:44:00] 104.225.237.215:8388 timed out
[2017-10-05 14:45:31] 104.225.237.215:8388 timed out
[2017-10-05 14:46:17] 104.225.237.215:8388 timed out
[2017-10-05 14:46:24] 104.225.237.215:8388 timed out
[2017-10-05 14:46:36] 104.225.237.215:8388 timed out
[2017-10-05 14:46:49] 104.225.237.215:8388 timed out
[2017-10-05 14:47:35] 104.225.237.215:8388 timed out
[2017-10-05 14:47:40] 104.225.237.215:8388 timed out
[2017-10-05 14:47:40] 104.225.237.215:8388 timed out
[2017-10-05 14:47:40] 104.225.237.215:8388 timed out
